"k","sigma_sq","p","n","rho","max_k","M","B","alpha","confidence_level","empirical_coverage","elapsed_minutes"
3,1,20,100,0,8,200,400,0.2,0.8,1,1.42491181691488
3,1,20,100,0,8,200,400,0.1,0.9,1,1.42491181691488
3,1,20,100,0,8,200,400,0.05,0.95,1,1.42491181691488
3,1,20,100,0,8,200,400,0.01,0.99,1,1.42491181691488
5,1,20,100,0,8,200,400,0.2,0.8,0.91,9.53540101448695
5,1,20,100,0,8,200,400,0.1,0.9,0.91,9.53540101448695
5,1,20,100,0,8,200,400,0.05,0.95,0.91,9.53540101448695
5,1,20,100,0,8,200,400,0.01,0.99,0.91,9.53540101448695
3,2,20,100,0,8,200,400,0.2,0.8,0.635,45.5383973677953
3,2,20,100,0,8,200,400,0.1,0.9,0.635,45.5383973677953
3,2,20,100,0,8,200,400,0.05,0.95,0.635,45.5383973677953
3,2,20,100,0,8,200,400,0.01,0.99,0.635,45.5383973677953
5,2,20,100,0,8,200,400,0.2,0.8,0,104.229297796885
5,2,20,100,0,8,200,400,0.1,0.9,0,104.229297796885
5,2,20,100,0,8,200,400,0.05,0.95,0,104.229297796885
5,2,20,100,0,8,200,400,0.01,0.99,0,104.229297796885
3,1,50,100,0,8,200,400,0.2,0.8,1,5.4073410153389
3,1,50,100,0,8,200,400,0.1,0.9,1,5.4073410153389
3,1,50,100,0,8,200,400,0.05,0.95,1,5.4073410153389
3,1,50,100,0,8,200,400,0.01,0.99,1,5.4073410153389
5,1,50,100,0,8,200,400,0.2,0.8,1,2.26731104850769
5,1,50,100,0,8,200,400,0.1,0.9,1,2.26731104850769
5,1,50,100,0,8,200,400,0.05,0.95,1,2.26731104850769
5,1,50,100,0,8,200,400,0.01,0.99,1,2.26731104850769
3,2,50,100,0,8,200,400,0.2,0.8,0.995,3.46414528290431
3,2,50,100,0,8,200,400,0.1,0.9,0.995,3.46414528290431
3,2,50,100,0,8,200,400,0.05,0.95,0.995,3.46414528290431
3,2,50,100,0,8,200,400,0.01,0.99,0.995,3.46414528290431
5,2,50,100,0,8,200,400,0.2,0.8,0.055,177.156562364101
5,2,50,100,0,8,200,400,0.1,0.9,0.055,177.156562364101
5,2,50,100,0,8,200,400,0.05,0.95,0.055,177.156562364101
5,2,50,100,0,8,200,400,0.01,0.99,0.055,177.156562364101
3,1,20,100,0.3,8,200,400,0.2,0.8,1,1.43578735192617
3,1,20,100,0.3,8,200,400,0.1,0.9,1,1.43578735192617
3,1,20,100,0.3,8,200,400,0.05,0.95,1,1.43578735192617
3,1,20,100,0.3,8,200,400,0.01,0.99,1,1.43578735192617
5,1,20,100,0.3,8,200,400,0.2,0.8,0.295,85.1456482330958
5,1,20,100,0.3,8,200,400,0.1,0.9,0.295,85.1456482330958
5,1,20,100,0.3,8,200,400,0.05,0.95,0.295,85.1456482330958
5,1,20,100,0.3,8,200,400,0.01,0.99,0.295,85.1456482330958
3,2,20,100,0.3,8,200,400,0.2,0.8,0.195,102.174451049169
3,2,20,100,0.3,8,200,400,0.1,0.9,0.195,102.174451049169
3,2,20,100,0.3,8,200,400,0.05,0.95,0.195,102.174451049169
3,2,20,100,0.3,8,200,400,0.01,0.99,0.195,102.174451049169
5,2,20,100,0.3,8,200,400,0.2,0.8,0,107.941590984662
5,2,20,100,0.3,8,200,400,0.1,0.9,0,107.941590984662
5,2,20,100,0.3,8,200,400,0.05,0.95,0,107.941590984662
5,2,20,100,0.3,8,200,400,0.01,0.99,0,107.941590984662
3,1,50,100,0.3,8,200,400,0.2,0.8,1,5.3017758846283
3,1,50,100,0.3,8,200,400,0.1,0.9,1,5.3017758846283
3,1,50,100,0.3,8,200,400,0.05,0.95,1,5.3017758846283
3,1,50,100,0.3,8,200,400,0.01,0.99,1,5.3017758846283
5,1,50,100,0.3,8,200,400,0.2,0.8,0.92,22.4074201663335
5,1,50,100,0.3,8,200,400,0.1,0.9,0.92,22.4074201663335
5,1,50,100,0.3,8,200,400,0.05,0.95,0.92,22.4074201663335
5,1,50,100,0.3,8,200,400,0.01,0.99,0.92,22.4074201663335
3,2,50,100,0.3,8,200,400,0.2,0.8,0.85,41.6865683992704
3,2,50,100,0.3,8,200,400,0.1,0.9,0.85,41.6865683992704
3,2,50,100,0.3,8,200,400,0.05,0.95,0.85,41.6865683992704
3,2,50,100,0.3,8,200,400,0.01,0.99,0.85,41.6865683992704
5,2,50,100,0.3,8,200,400,0.2,0.8,0,182.055607100328
5,2,50,100,0.3,8,200,400,0.1,0.9,0,182.055607100328
5,2,50,100,0.3,8,200,400,0.05,0.95,0,182.055607100328
5,2,50,100,0.3,8,200,400,0.01,0.99,0,182.055607100328
