"","model","estimator","b","k_obs","k_estimate"
"1","fa_orthogonal","bic",1,4,4
"2","fa_orthogonal","bic",2,4,4
"3","fa_orthogonal","bic",3,4,4
"4","fa_orthogonal","bic",4,4,4
"5","fa_orthogonal","bic",5,4,4
"6","fa_orthogonal","bic",6,4,4
"7","fa_orthogonal","bic",7,4,4
"8","fa_orthogonal","bic",8,4,4
"9","fa_orthogonal","bic",9,4,4
"10","fa_orthogonal","bic",10,4,4
"11","fa_orthogonal","bic",11,4,4
"12","fa_orthogonal","bic",12,4,4
"13","fa_orthogonal","bic",13,4,4
"14","fa_orthogonal","bic",14,4,4
"15","fa_orthogonal","bic",15,4,4
"16","fa_orthogonal","bic",16,4,4
"17","fa_orthogonal","bic",17,4,4
"18","fa_orthogonal","bic",18,4,4
"19","fa_orthogonal","bic",19,4,4
"20","fa_orthogonal","bic",20,4,4
"21","fa_orthogonal","bic",21,4,4
"22","fa_orthogonal","bic",22,4,4
"23","fa_orthogonal","bic",23,4,4
"24","fa_orthogonal","bic",24,4,4
"25","fa_orthogonal","bic",25,4,4
"26","fa_orthogonal","kaiser_guttman",1,4,4
"27","fa_orthogonal","kaiser_guttman",2,4,4
"28","fa_orthogonal","kaiser_guttman",3,4,4
"29","fa_orthogonal","kaiser_guttman",4,4,4
"30","fa_orthogonal","kaiser_guttman",5,4,4
"31","fa_orthogonal","kaiser_guttman",6,4,4
"32","fa_orthogonal","kaiser_guttman",7,4,4
"33","fa_orthogonal","kaiser_guttman",8,4,4
"34","fa_orthogonal","kaiser_guttman",9,4,4
"35","fa_orthogonal","kaiser_guttman",10,4,4
"36","fa_orthogonal","kaiser_guttman",11,4,4
"37","fa_orthogonal","kaiser_guttman",12,4,4
"38","fa_orthogonal","kaiser_guttman",13,4,4
"39","fa_orthogonal","kaiser_guttman",14,4,4
"40","fa_orthogonal","kaiser_guttman",15,4,4
"41","fa_orthogonal","kaiser_guttman",16,4,4
"42","fa_orthogonal","kaiser_guttman",17,4,4
"43","fa_orthogonal","kaiser_guttman",18,4,4
"44","fa_orthogonal","kaiser_guttman",19,4,4
"45","fa_orthogonal","kaiser_guttman",20,4,4
"46","fa_orthogonal","kaiser_guttman",21,4,4
"47","fa_orthogonal","kaiser_guttman",22,4,4
"48","fa_orthogonal","kaiser_guttman",23,4,4
"49","fa_orthogonal","kaiser_guttman",24,4,4
"50","fa_orthogonal","kaiser_guttman",25,4,4
"51","fa_orthogonal","parallel_analysis",1,4,4
"52","fa_orthogonal","parallel_analysis",2,4,4
"53","fa_orthogonal","parallel_analysis",3,4,4
"54","fa_orthogonal","parallel_analysis",4,4,4
"55","fa_orthogonal","parallel_analysis",5,4,4
"56","fa_orthogonal","parallel_analysis",6,4,4
"57","fa_orthogonal","parallel_analysis",7,4,4
"58","fa_orthogonal","parallel_analysis",8,4,4
"59","fa_orthogonal","parallel_analysis",9,4,4
"60","fa_orthogonal","parallel_analysis",10,4,4
"61","fa_orthogonal","parallel_analysis",11,4,4
"62","fa_orthogonal","parallel_analysis",12,4,4
"63","fa_orthogonal","parallel_analysis",13,4,4
"64","fa_orthogonal","parallel_analysis",14,4,4
"65","fa_orthogonal","parallel_analysis",15,4,4
"66","fa_orthogonal","parallel_analysis",16,4,4
"67","fa_orthogonal","parallel_analysis",17,4,4
"68","fa_orthogonal","parallel_analysis",18,4,4
"69","fa_orthogonal","parallel_analysis",19,4,4
"70","fa_orthogonal","parallel_analysis",20,4,4
"71","fa_orthogonal","parallel_analysis",21,4,4
"72","fa_orthogonal","parallel_analysis",22,4,4
"73","fa_orthogonal","parallel_analysis",23,4,4
"74","fa_orthogonal","parallel_analysis",24,4,4
"75","fa_orthogonal","parallel_analysis",25,4,4
"76","fa_orthogonal","rmsea",1,4,4
"77","fa_orthogonal","rmsea",2,4,4
"78","fa_orthogonal","rmsea",3,4,4
"79","fa_orthogonal","rmsea",4,4,4
"80","fa_orthogonal","rmsea",5,4,4
"81","fa_orthogonal","rmsea",6,4,4
"82","fa_orthogonal","rmsea",7,4,4
"83","fa_orthogonal","rmsea",8,4,4
"84","fa_orthogonal","rmsea",9,4,4
"85","fa_orthogonal","rmsea",10,4,4
"86","fa_orthogonal","rmsea",11,4,4
"87","fa_orthogonal","rmsea",12,4,3
"88","fa_orthogonal","rmsea",13,4,4
"89","fa_orthogonal","rmsea",14,4,4
"90","fa_orthogonal","rmsea",15,4,3
"91","fa_orthogonal","rmsea",16,4,4
"92","fa_orthogonal","rmsea",17,4,4
"93","fa_orthogonal","rmsea",18,4,4
"94","fa_orthogonal","rmsea",19,4,3
"95","fa_orthogonal","rmsea",20,4,4
"96","fa_orthogonal","rmsea",21,4,4
"97","fa_orthogonal","rmsea",22,4,4
"98","fa_orthogonal","rmsea",23,4,4
"99","fa_orthogonal","rmsea",24,4,4
"100","fa_orthogonal","rmsea",25,4,4
"101","fa_orthogonal","ega",1,4,4
"102","fa_orthogonal","ega",2,4,4
"103","fa_orthogonal","ega",3,4,4
"104","fa_orthogonal","ega",4,4,4
"105","fa_orthogonal","ega",5,4,4
"106","fa_orthogonal","ega",6,4,4
"107","fa_orthogonal","ega",7,4,4
"108","fa_orthogonal","ega",8,4,4
"109","fa_orthogonal","ega",9,4,4
"110","fa_orthogonal","ega",10,4,4
"111","fa_orthogonal","ega",11,4,4
"112","fa_orthogonal","ega",12,4,4
"113","fa_orthogonal","ega",13,4,4
"114","fa_orthogonal","ega",14,4,4
"115","fa_orthogonal","ega",15,4,4
"116","fa_orthogonal","ega",16,4,4
"117","fa_orthogonal","ega",17,4,4
"118","fa_orthogonal","ega",18,4,4
"119","fa_orthogonal","ega",19,4,4
"120","fa_orthogonal","ega",20,4,3
"121","fa_orthogonal","ega",21,4,4
"122","fa_orthogonal","ega",22,4,3
"123","fa_orthogonal","ega",23,4,4
"124","fa_orthogonal","ega",24,4,NA
"125","fa_orthogonal","ega",25,4,4
"126","fa_orthogonal","vss",1,2,2
"127","fa_orthogonal","vss",2,2,3
"128","fa_orthogonal","vss",3,2,2
"129","fa_orthogonal","vss",4,2,3
"130","fa_orthogonal","vss",5,2,1
"131","fa_orthogonal","vss",6,2,2
"132","fa_orthogonal","vss",7,2,3
"133","fa_orthogonal","vss",8,2,1
"134","fa_orthogonal","vss",9,2,1
"135","fa_orthogonal","vss",10,2,3
"136","fa_orthogonal","vss",11,2,2
"137","fa_orthogonal","vss",12,2,1
"138","fa_orthogonal","vss",13,2,1
"139","fa_orthogonal","vss",14,2,1
"140","fa_orthogonal","vss",15,2,1
"141","fa_orthogonal","vss",16,2,2
"142","fa_orthogonal","vss",17,2,2
"143","fa_orthogonal","vss",18,2,2
"144","fa_orthogonal","vss",19,2,1
"145","fa_orthogonal","vss",20,2,1
"146","fa_orthogonal","vss",21,2,2
"147","fa_orthogonal","vss",22,2,1
"148","fa_orthogonal","vss",23,2,1
"149","fa_orthogonal","vss",24,2,2
"150","fa_orthogonal","vss",25,2,2
"151","fa_orthogonal","map",1,4,4
"152","fa_orthogonal","map",2,4,4
"153","fa_orthogonal","map",3,4,4
"154","fa_orthogonal","map",4,4,4
"155","fa_orthogonal","map",5,4,4
"156","fa_orthogonal","map",6,4,4
"157","fa_orthogonal","map",7,4,4
"158","fa_orthogonal","map",8,4,3
"159","fa_orthogonal","map",9,4,4
"160","fa_orthogonal","map",10,4,4
"161","fa_orthogonal","map",11,4,4
"162","fa_orthogonal","map",12,4,4
"163","fa_orthogonal","map",13,4,3
"164","fa_orthogonal","map",14,4,4
"165","fa_orthogonal","map",15,4,3
"166","fa_orthogonal","map",16,4,4
"167","fa_orthogonal","map",17,4,4
"168","fa_orthogonal","map",18,4,4
"169","fa_orthogonal","map",19,4,4
"170","fa_orthogonal","map",20,4,3
"171","fa_orthogonal","map",21,4,4
"172","fa_orthogonal","map",22,4,4
"173","fa_orthogonal","map",23,4,4
"174","fa_orthogonal","map",24,4,4
"175","fa_orthogonal","map",25,4,4
"176","fa_oblique","bic",1,4,4
"177","fa_oblique","bic",2,4,4
"178","fa_oblique","bic",3,4,4
"179","fa_oblique","bic",4,4,4
"180","fa_oblique","bic",5,4,4
"181","fa_oblique","bic",6,4,4
"182","fa_oblique","bic",7,4,4
"183","fa_oblique","bic",8,4,4
"184","fa_oblique","bic",9,4,4
"185","fa_oblique","bic",10,4,4
"186","fa_oblique","bic",11,4,4
"187","fa_oblique","bic",12,4,4
"188","fa_oblique","bic",13,4,4
"189","fa_oblique","bic",14,4,4
"190","fa_oblique","bic",15,4,4
"191","fa_oblique","bic",16,4,4
"192","fa_oblique","bic",17,4,4
"193","fa_oblique","bic",18,4,4
"194","fa_oblique","bic",19,4,4
"195","fa_oblique","bic",20,4,4
"196","fa_oblique","bic",21,4,4
"197","fa_oblique","bic",22,4,4
"198","fa_oblique","bic",23,4,4
"199","fa_oblique","bic",24,4,4
"200","fa_oblique","bic",25,4,4
"201","fa_oblique","kaiser_guttman",1,4,4
"202","fa_oblique","kaiser_guttman",2,4,4
"203","fa_oblique","kaiser_guttman",3,4,4
"204","fa_oblique","kaiser_guttman",4,4,4
"205","fa_oblique","kaiser_guttman",5,4,4
"206","fa_oblique","kaiser_guttman",6,4,4
"207","fa_oblique","kaiser_guttman",7,4,4
"208","fa_oblique","kaiser_guttman",8,4,4
"209","fa_oblique","kaiser_guttman",9,4,4
"210","fa_oblique","kaiser_guttman",10,4,4
"211","fa_oblique","kaiser_guttman",11,4,4
"212","fa_oblique","kaiser_guttman",12,4,4
"213","fa_oblique","kaiser_guttman",13,4,4
