"","model","estimator","b","k_obs","k_estimate"
"1","fa_orthogonal","bic",1,4,4
"2","fa_orthogonal","bic",2,4,4
"3","fa_orthogonal","kaiser_guttman",1,4,4
"4","fa_orthogonal","kaiser_guttman",2,4,4
"5","fa_orthogonal","parallel_analysis",1,4,4
"6","fa_orthogonal","parallel_analysis",2,4,4
"7","fa_orthogonal","rmsea",1,4,4
"8","fa_orthogonal","rmsea",2,4,4
"9","fa_orthogonal","ega",1,4,4
"10","fa_orthogonal","ega",2,4,4
"11","fa_orthogonal","vss",1,2,2
"12","fa_orthogonal","vss",2,2,2
"13","fa_orthogonal","map",1,4,4
"14","fa_orthogonal","map",2,4,4
"15","fa_oblique","bic",1,4,4
"16","fa_oblique","bic",2,4,4
"17","fa_oblique","kaiser_guttman",1,4,4
"18","fa_oblique","kaiser_guttman",2,4,4
"19","fa_oblique","parallel_analysis",1,4,4
"20","fa_oblique","parallel_analysis",2,4,4
"21","fa_oblique","rmsea",1,4,4
"22","fa_oblique","rmsea",2,4,4
"23","fa_oblique","ega",1,4,4
"24","fa_oblique","ega",2,4,4
"25","fa_oblique","vss",1,2,1
"26","fa_oblique","vss",2,2,2
"27","fa_oblique","map",1,4,4
"28","fa_oblique","map",2,4,4
